Date,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2004-11-01,175607.81333048388,116444.1354567401,198016.3259371436,185423.32776116335,106867.27278675091,387539.7143090858,226203.98136465473,263073.98401665146,221731.76362492054,316001.14046338404,178084.99015223535,152345.6381081623,338339.7796377837,143110.71965969334,182294.22381664385,109741.93648705224,111616.42416986357,108190.75290638352,103561.71828811492,131862.94070645267,182757.36204592636,256257.49782995452,344186.8068109609,145290.25371946386,199176.29562152296,103803.58900926501,129147.24876331516,,123327.70890769125,275597.5256828184,234459.84591480342,301352.5219004646,147898.0502925657,238545.8273152261,146069.19598133114,,126575.05800260646,97988.59779591695,195060.21183912965,139469.67811434728,262444.39735611127,135961.91886661624,127280.7861839793,126816.60955490683,128795.86737467434,181961.99767834772,173444.90076590146,207769.6476600937,230416.2698770014,92897.38690170347,161984.4040896645,164579.27798701907
2004-12-01,177117.95899669686,117065.47276666651,199661.8956392574,188541.8607458755,107379.01349959977,393556.60765198554,226719.04530679827,265998.57250204665,225840.92051679245,321223.40552753076,180725.56042082116,152787.01737035564,344391.63304458006,143798.75108211124,183535.43956579812,110105.06830668771,111988.62977823452,108790.39054744999,103880.72450633906,132513.98771938542,184636.56302767736,260035.3936881416,346630.6376909704,145720.44489354477,200179.32817015206,104171.89815377073,129699.92071136022,,123708.36564789123,280434.4107953996,236424.10264874747,304719.1846717366,148526.95052318228,240845.84058195373,146565.5959701445,,126900.53239730008,98309.37444786118,196706.8254541197,140704.47066380887,265509.3749340764,136747.0714941601,127814.49463270738,127334.31862624998,129270.7970130678,181937.76488360154,175225.4015016711,210720.7796648581,232740.42456232655,93489.87197740498,163064.97340278394,165794.923629968
2005-01-01,178579.1357529241,117599.37120389676,201099.6568698394,191918.28083756505,107993.17732516736,398911.2726758155,227291.884054397,268298.9319768706,229237.33095238826,323731.66911681235,183437.02311294808,153126.21090245084,349424.6374551149,144614.32883513378,184579.69449910717,110741.37427432014,112304.86776794719,109314.7884771445,104199.07527313854,132945.97980992493,187183.07847601722,263836.4009305834,348853.04735007626,146154.95815522535,201372.4344588426,104388.32919475902,130232.7644046314,,124144.93495974485,284316.9181234988,238396.8281067716,307916.8482606821,149139.48382911613,243038.39532275693,146950.27230565174,,127246.4264959102,98661.2049293723,198204.93926518317,141976.5526659433,268460.7727319277,137515.76501343757,128450.06680120974,127814.75764140197,129776.61919591135,181893.42630353887,176926.71497251777,213714.99730332973,235132.62201002543,94135.6077074192,163751.35492568396,167026.25618026874
2005-02-01,180069.92448784388,118019.3590702238,202305.52550105928,196043.79376433184,108714.68631755997,404714.9070402407,227737.83549920583,270150.67026481783,231673.4574601651,327216.1946710839,186336.5327553753,153442.4760390598,355128.3569850532,145578.20552714108,185726.00972408333,111569.06913683617,112659.39918535482,109788.06856781973,104554.43514949836,133244.29727955416,189659.29102827594,267497.24193439336,351452.7128423531,146507.67726017509,202680.3826123816,104699.73899436976,130720.74633550206,163145.20908300098,124570.4447900423,289522.88349429244,240243.92690956115,310954.50079686724,149742.78039251533,245174.50809357502,147362.87549873136,,127613.05307791881,99023.49315519207,199805.83156212777,143008.538950892,271362.7227618794,138278.8631629513,129219.43347261997,128378.99521086745,130202.18522011365,182094.439510006,178649.58595798546,216641.8396651774,237287.4588590572,94835.33414424548,164236.6049983667,168016.97538576694
2005-03-01,181607.7766656316,118334.85487274744,203235.3574798603,200428.78493515876,109514.77525455749,410815.46313871094,228188.0981331917,272311.27111325506,233566.50698235258,332171.59179857216,189587.48194754194,153767.89952212333,361105.6193765972,146784.06323828912,186880.73976814374,112458.19251940561,112970.82840782641,110227.98336235744,104982.79440174834,133451.1592179135,191991.86634911606,271121.79505075375,354222.4026529004,146833.65292349702,203812.32165226535,105118.42062470724,131183.0547167152,163128.31271990773,125077.38450074523,295209.16373752075,242137.21875191515,314072.902967658,150509.15033143925,247139.96198580263,147749.43204791797,,127988.95706054143,99370.06165172998,201749.9495462228,143996.66371374959,273961.82785141555,139137.2214239861,129993.61414689462,129017.30476292672,130581.38965829254,182475.17463625295,180367.3155181796,219748.86553080915,239676.19527824115,95427.8618148293,164694.29819806176,168769.39536714883
2005-04-01,183340.2284410814,118656.74165505257,204311.74999349876,205686.4203472693,110302.5895890812,417694.37661288097,228691.60095943432,274871.81634718605,235823.29368632377,338760.8727899336,193419.04772123447,154225.3704961324,368810.35644243954,148011.9820630032,188149.05080134538,113015.56889017299,113394.41981512656,110555.61415355744,105439.18069068785,133919.66839574798,193508.43912642528,275342.19998079835,357172.134989159,147098.08603565526,205020.27725794973,105651.06713699125,131653.96015439692,163655.6511021535,125543.08047642764,302674.9515173374,244312.56694801795,317647.73158078204,151355.34761359493,249214.2852223169,148262.3941435905,,128343.960706328,99681.08392748937,204418.8296041827,145071.67268739105,276899.26850921643,140002.85511658018,130708.23557805252,129743.30810301674,130915.63404161886,183099.2497281965,182456.09114534102,223285.8505583071,242530.995229418,95951.62543833662,165528.47131669335,169292.55834652032
2005-05-01,185180.59852046907,119008.10890957534,205855.03409286347,211805.47447714026,111053.8924925257,424385.6630044884,229382.61914883903,277755.4611268689,239058.23072200603,344280.0874652791,197694.48652441686,154792.4020534766,376943.77984982514,149445.09847417948,189444.3266838163,113528.80396378752,113958.27395239503,110963.41251234268,105893.34499282185,134464.65183069467,194763.27025600107,280143.28730008774,359721.02636654885,147418.0456935906,206270.38751131785,106149.697577062,132213.16496072971,164473.2248320489,126071.57175219746,308223.30107987934,246380.1621320061,321591.7236822405,152299.0994323455,251416.96017114716,148809.46657227748,,128648.78858842026,100006.81291240446,207469.16533952652,146365.80747061534,279603.7700413325,140881.45194208503,131346.63769390213,130491.57465152339,131279.19462977845,183676.00944606095,184380.43649486694,227523.94345839715,245896.0796982192,96548.86051738508,166653.90584447896,170216.97452098678
2005-06-01,187108.21554164006,119440.65311397899,207233.74470323077,219507.24685800239,111800.94702237961,430573.2244092426,230028.47089132402,280642.1555048725,241756.24526185307,349345.43377108965,202329.26288893764,155439.51725904775,385780.7989855224,151257.69914187913,190750.01956861,114155.11644766557,114663.60529954811,111038.95212499308,106308.756726978,135222.53990727486,195806.7982093056,285710.7472714967,361470.042885582,147672.20747604725,207532.60228826068,106775.49327503522,132807.18921216892,165600.6801145753,126460.29423423002,312564.01888844237,248140.95961066583,325765.1189694591,153338.60767930187,253692.95260378867,149480.74384611624,,128954.07620285668,100303.57138614995,210862.02558833003,147862.9424878937,282011.02245725953,141796.31855679132,132089.47287796647,131281.6021649209,131676.51248922557,184333.35514522795,186100.50411244165,231824.7727889958,249805.77439251752,97312.9098824187,167937.30639129132,171314.52459013267
2005-07-01,189050.19916319972,119939.00438686863,208777.63983477675,228200.04700712257,112570.99167352046,436493.2379374781,230621.47301674364,283451.15649293776,244133.40690183616,354846.4060938026,207275.28488360182,156047.02826119968,394925.92998128507,153474.72421638467,192001.5104175835,114834.11749459761,115443.32388267903,111094.59329634394,106710.62699815497,136086.6234103139,196899.9021461268,291713.7165851361,362519.71177842334,147855.0690065464,208535.9127977883,107347.65057965407,133415.96124653294,166592.86594328142,126889.59949443532,315324.5038542408,249538.10761846948,329785.5922113588,154697.76513054458,256087.94254824857,150223.34331628747,,129240.9654836633,100601.14863645584,214441.35071209367,149464.89071997136,283862.1436712027,142877.2119961593,132795.84383378737,132150.87578720858,132028.11460720614,185100.82274695826,187611.71726227607,236034.03879373075,254110.5537914316,98150.62118812832,169255.7558780548,172767.73724455136
2005-08-01,191014.51364265181,120464.77319666365,210318.85884955386,236778.0163076542,113280.26715581333,442498.3308065446,231192.66834940438,286377.96968760696,246243.56830889793,361108.22343982174,212387.24795424053,156635.3444937555,404023.63310580375,156186.18831294234,193381.2574330666,115368.41780856576,116163.58875270735,111124.66305963381,107098.29377861536,137182.568635129,197939.80166950982,297860.5715510367,363106.66715707787,148054.92864701457,209267.13369672725,108102.85986726661,134011.9827195632,167945.03132588346,127234.77048460185,318676.85842047044,250923.3186740837,333729.86985188734,156324.79633062062,258591.66874409167,151034.65327872275,,129552.85030107595,100905.35417968938,218339.77871678307,151143.43955110808,285977.1201518892,144017.2874383139,133600.5734890621,133043.05969964768,132357.20648217644,186029.75263615538,189329.16231951248,239832.0914523567,258922.71797146264,98658.78394694673,170528.89804319487,173983.89297671392
2005-09-01,192946.2405002342,121007.60620599915,212270.03388810507,245456.40473910465,114002.2360539554,448530.98801046266,231729.02790784164,289286.4170231793,248948.18894650709,367081.56047193473,217397.60185588652,157222.99905536193,412607.18824774266,158971.38295775422,194963.60159674138,115729.66377117751,116758.19975264702,111488.35178749442,107466.7975705341,138290.64940634966,199071.5733670457,303178.541622159,364088.277472707,148300.8362429357,210042.28010031566,108889.8688762674,134613.2764040077,169537.19138747113,127598.75381168548,321613.6633577615,252367.4243878761,337475.28775038203,158218.58486645235,261220.3845772445,151828.1423042421,,129852.39316977335,101250.7388786691,222400.02644258528,152720.74728497412,288352.0288022156,145130.59201109182,134507.95810363643,133921.6085117075,132686.67636440706,187072.84206654257,191350.86075877817,243583.83870250374,263517.7491046658,99058.98378742828,171646.04338203595,175205.5199237185
2005-10-01,194775.85480116063,121646.04930765387,214338.42533038076,253023.69575540666,114721.4924556794,454452.3932797517,232334.3455820285,292259.3735922513,252106.58025970092,371730.30896675325,222012.05136409853,157810.95704371648,419818.68916961947,,196685.85485322995,116032.75977832223,117188.57395035536,111719.9880529943,107765.17589616212,139533.86783979522,200098.47352447934,307900.61565758457,365275.6203716121,148570.6849444759,210792.2342073672,109908.99522374438,135248.5333976999,171303.0012006919,127922.2369823868,323834.4665307568,253800.99257465455,341192.9228759587,160093.1639206887,263895.4072816817,152660.0349465844,,130157.1357107651,101566.89859145792,226261.30954347528,154159.0328804428,290691.98960675945,146176.71628853085,135392.11540734107,134734.58250352202,132953.7119985786,188179.6021881967,193405.12642095843,246930.09842935216,267674.86608692445,99364.95783896786,172571.9601451707,176471.27765666976
2005-11-01,196446.09977544248,122435.9816523365,216342.6117191188,259983.7908484676,115533.6733913835,459255.97596715024,232886.23861923223,295018.95329370204,254719.17457606457,375838.3028203831,226278.3860308746,158383.16839149318,426361.6270679896,168666.25054967953,198056.86661419625,116284.74538217939,117577.0139756761,111757.2294213299,108073.09175687101,140765.93462647186,200990.40033704115,311603.35721580585,366320.91802928876,148794.63656731258,211646.8333518411,110780.97301240213,135850.93501561953,172595.70874479922,128264.30507938813,325120.63709132676,255113.95041762068,344769.1035275412,161959.9967005465,266313.53920599964,153446.35486499537,,130457.44229301512,101909.45981997247,229818.05918399102,155478.6568216764,292484.12271110085,147176.75328049142,135997.93955118954,135492.48143291762,133265.7919511339,189454.72846827342,195213.59912757287,250014.71464318628,271520.4856733613,99855.09666224179,173326.92505010762,177714.88068456363
2005-12-01,197955.254361175,123311.60149536817,218476.82650604405,264742.9195251545,116295.7210589046,463508.0333595648,233445.78578291216,297326.510640884,256916.4745496215,379685.22970944573,230275.94060136518,158920.66609196342,432866.7839790103,172850.79220565455,199225.44806721553,116492.92243236357,117947.80185459282,111911.11026611894,108385.05259040157,142106.43787279946,201812.54184959395,315413.93102024583,366561.5820192807,149011.82169796785,212344.72751018676,111383.045552035,136423.14585152408,173744.04791548444,128539.67787339755,325820.99481611204,256347.0338036896,348119.79094499873,163789.6604655433,268723.12936010124,154212.54877501895,,130730.30517739344,102250.23437806654,233418.85768581703,156717.25158086643,293796.1654273853,148199.72280803957,136361.07198773805,136229.57337210412,133519.93741944584,190802.14991935645,196826.93823209187,252562.70464540343,275099.9372883145,100382.6835646108,173935.99152834484,178938.19605067218
2006-01-01,199247.6050057936,124202.43728090865,220335.102691101,267238.61902877927,116952.66458448744,467050.7207140876,234003.218746012,299036.84848516464,258938.71269464298,383571.9932684198,233970.97732858584,159444.61214535614,439924.16949597857,174998.9929011118,200247.77021473311,116498.49844415455,118246.98965546589,112197.16168302426,108707.61933661251,143546.4361817046,202674.04262283279,318475.71461334574,366421.94087288465,149237.04779387044,212937.35861581843,111818.23296230724,136894.7352480574,174499.05842403727,128855.75474716962,326482.6468464537,257409.3035250166,350975.20579988643,165544.54213580638,270829.3577450829,154922.1833842384,,130952.6946233464,102611.72065467719,236840.75271590007,157816.53077823063,294363.3221105516,149157.57634559463,136780.89785318085,136860.82622184642,133728.49552250013,192066.26705198732,198195.74425873396,254805.38099873855,278285.18069698586,100960.72788283043,174400.3874225225,180070.9751467517
2006-02-01,200447.8134465077,125087.95670136974,221446.9858212924,270431.3024891394,117550.15569463575,470201.607336594,234394.65420163408,299891.7929215803,261263.49489728492,386889.6433254825,237399.15526527065,159973.00456405466,447267.9641118922,176683.90777339833,201366.71878985377,116472.91111418826,118483.25089043309,112636.55338173867,109000.05502975505,145017.24644915038,203208.03648664182,321557.0199463899,365815.7000510117,149446.13500467947,213424.56890382557,112370.45063125131,137311.14104609782,175550.70416384353,129191.32021489622,326756.50799881906,257731.7455163503,353676.4580237337,167290.10338656048,272756.01090278564,155622.91570792836,,131131.23329340367,103037.87643593158,239951.80715112344,158774.7907268363,295107.73975710577,150302.51014037488,137300.65373998228,137532.5248367533,133938.84817307442,193414.92930952404,199554.31465116076,256987.65219939654,281570.6130057606,101243.18558774256,174860.22274697418,181280.7356029128
2006-03-01,201656.66962064826,126065.29324586266,221973.6850916537,274412.9296949015,118138.81233093997,473202.8572416824,234716.57973249152,301198.5687463567,263773.0306642196,390255.3322442135,240961.80713024395,160475.70501088534,453228.1006998653,178590.5002798283,202510.75886857373,116339.625197036,118687.41150890056,112973.33592079357,109286.9479936846,146518.7416589039,203538.70938799865,324736.57034274586,365415.02377520915,149563.95776765223,213814.5454765788,113190.48221921072,137670.94876763585,176699.72183216267,129648.79309272644,328428.0585959507,257743.02739502545,356351.45663665194,168997.18658142537,274346.72991738474,156375.50112266073,,131294.008422762,103537.25283803522,242972.79842756814,159674.0800150833,296217.3541057883,151379.349842558,137756.00636217653,138223.95408121237,134194.51330565594,194920.82646451588,201112.33709567413,259182.97541713994,284953.3660596942,101343.75719117602,175255.8196422453,182486.31525635117
2006-04-01,202955.55482636622,127102.07036307204,222508.89212369753,279062.38413267594,118748.30843829381,475897.5129462446,234987.61115071535,302714.1404356388,266204.45282415475,393256.1440565993,244928.23372887587,160986.19994405436,458887.1575543103,181225.5598927359,203536.41231026387,116324.46097110637,118901.63758220577,113331.29066069111,109573.80365980184,147868.9095317081,203451.33898174204,328390.6215016337,365109.84808854206,149546.94805674255,214183.60483976672,114202.26572003895,138026.84036796537,178203.59430063982,130078.22031375773,330732.93196994875,258000.19053281544,359259.741763846,171044.80763014933,275728.3823531086,157179.13960463522,,131466.57247287672,104038.92360718998,246299.06285001422,160625.7736018163,298001.94975238503,152522.72283412213,137998.12586378492,139021.812342712,134604.4331815281,196809.92544171764,202525.21437226082,261179.63756735492,288879.475910683,101255.85962388606,175659.4007948949,183823.178193789
2006-05-01,204237.554580313,128127.53507430873,223723.5391078838,282139.4587302255,119328.49693342442,478575.1737871512,235507.12880164885,304654.5961461401,268409.84057765064,395723.6303134507,248732.06582853734,161472.72118624637,462452.5010049872,184018.7525206793,204574.8510032124,116446.64467323486,119130.92876004934,113651.90045772768,109835.83525376383,148913.09040768768,203462.54498373042,332099.1614807782,364875.99608920584,149412.66314168772,214440.1220495369,115000.87589517834,138369.6821767304,179650.44452969442,130505.08193252976,333341.3117861978,258503.08830102257,362016.1399658318,173109.1588782541,277033.4778598665,158052.2760073232,,131642.8285881244,104475.43943606883,250028.4344780248,161690.74714802462,299090.45232306997,153626.71148921337,138323.1512949187,139817.96948125996,135165.17280889815,198853.83733752402,203960.87466813414,262639.33726422116,292842.13887821237,101502.50628367804,175993.58532022996,185555.6764393201
2006-06-01,205368.26724758375,129109.65954682737,225143.22284722712,283839.7166913818,119890.42457042127,480427.19060772285,235983.33138936956,305806.91037765634,270185.5383991325,396934.1387090662,251916.74586563814,162001.0579982409,465473.6345364935,187476.65551652515,205326.2506677292,116839.9012778002,119375.30725887994,113960.31587301592,110068.70332162478,149804.54452402855,203314.05641206694,335299.3831795789,364313.41462969343,149189.70342700824,214710.83702651502,115786.42024217408,138721.75287758466,181120.12045489554,130802.55767421523,334520.940951716,258894.0917809452,364406.8459928912,175280.2281217959,278381.3854477512,158923.40666652092,,131800.92710561227,104871.72652445805,254095.43974119562,162856.90877580084,299484.16982412036,154848.63282805966,138771.4175181664,140636.19516031494,135786.74155668748,201437.64293586533,205186.08987894744,263653.97979220125,296581.7809960389,101877.08361437032,176262.06563512015,187494.98285115414
2006-07-01,206254.17037126017,130023.18651305756,226739.45280409674,284178.80229120055,120422.16268027666,481114.8958718125,236272.0050263042,306608.27665568306,271813.54198524816,396762.0224865933,254102.1162485159,162557.604281783,467742.6181205839,190052.3648904697,205898.5036238659,117302.96574262997,119670.77384437835,114279.96030526694,110272.8063921201,150541.99932402786,203108.87758133234,338189.8157677078,362745.9674919287,148932.65404093792,214739.28788926755,116340.64217341528,139082.34138192466,182530.98778080064,131055.43095098103,334855.81647475454,258666.15021245612,365984.09090449876,177178.59755625707,279643.0320440379,159811.6497385831,,131942.24308921714,105265.20744748648,257888.03880294433,163936.44845393742,298879.790043077,156109.84908661313,139364.55507089503,141461.05399465436,136406.57927519944,204628.97713516295,206375.31531955613,264536.12051682174,300031.2479399828,102247.78512849052,176430.97627713045,189549.11704425505
2006-08-01,206935.7353235856,130965.07830952322,228567.03529138758,283342.8236682964,120920.45677510141,481120.9724156116,236534.72714344753,306896.62520339276,273267.2188931517,396230.1881808709,255536.6700903621,163133.03851285882,469782.3935866526,192285.9046370583,206325.9626338783,117745.53267020988,119985.53103529778,114700.0494825651,110470.58888359646,151372.59647252108,203098.5516574698,340473.73628201097,360748.3972766068,148628.18071154933,214610.1059041612,117172.42508460714,139406.03070806756,183966.8419316761,131152.7122759268,334551.56346760184,258405.82716747877,366694.28729149495,179127.51413706012,280771.74714718695,160723.73164111815,,132033.44712101863,105648.9415277164,261281.18376536225,164809.97295716274,297893.5018278484,157254.86204869303,139747.17808889854,142302.41727336487,136957.12796906722,208177.209367945,207566.43344986797,265118.1304124507,303158.46034559683,102549.0082032287,176618.29838184477,191122.1774509966
