Date,Year,Month,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2018-10,2018,10,233283.86046356216,150468.1604153011,287746.1021934836,256566.72420161185,141021.48822782794,533563.5769770296,378397.3064493807,253766.5827856188,265525.40036607074,561653.8326276345,233762.9796207838,190992.2682738237,611422.2439771203,253339.35913998575,188065.9887867601,149704.51437468865,154322.62005850274,144866.4127881919,134650.64617377953,173491.17569552714,230313.70315282745,307310.7914421063,417159.7077556066,162051.53636970083,243334.5470333371,134086.4862255664,158828.01712931658,262700.6210617631,170599.35113631733,291474.4863449978,273834.8823040235,336490.2093590667,187552.70544457028,333102.62025234447,194517.49306616271,216252.94746121563,145563.7546303655,131940.12847877058,348796.2806275606,181913.66413680548,288549.25703186047,182228.8506735287,200755.31169285649,188155.6853248788,203875.3498260413,320654.55379846646,258808.4057618964,264568.4645882028,384983.074914471,116653.3853830751,195947.69461634103,243238.6810832852
2018-11,2018,11,234047.5387936557,150890.06493903557,287810.1473020156,257891.2940210308,141263.2156626491,536117.3333730971,379569.7601128118,253960.8123910674,266047.03793041414,563724.165291095,234979.046998238,192311.113244242,611813.7973132054,255779.3362545605,188223.18207582625,150528.06801940023,154781.5492123282,145377.411671677,135140.13981702656,173494.73818343837,230796.0679993425,307869.0786717561,417384.7840254176,162409.87310658803,243843.8265050128,134774.71229985091,159471.406521196,263576.36461987376,171159.1156392176,293482.2837806439,274203.3378858086,337124.1506968351,188345.9450514397,334243.1708031672,195506.7460486909,215945.8868241713,146299.72734590352,132600.98761309191,349247.1074025772,182194.5443795893,288783.7782091292,182846.1108121931,201334.1222508039,188787.53192440144,204642.6305805012,322544.0837022341,259048.02746441192,265125.1103185455,385447.609143938,117039.87604827005,196410.867425974,243878.0529884665
2018-12,2018,12,234863.67932715427,151424.73990145212,287443.9254585271,259059.8273186807,141637.20808649677,537613.6398005352,380874.4390990624,254063.57291135195,266599.54765688087,565150.6074555657,236293.29114412484,193668.4325462279,612213.7419092297,258116.2589625232,188608.15035245504,151259.8463353245,155208.24091045198,145816.13741283503,135658.6952798759,173713.40999929784,231389.5348912337,308385.9652729944,417019.0058621615,163002.7039961474,244577.8052647355,135370.37089045765,159990.54577792776,264259.533766061,171591.47924104272,295004.90378424013,274625.4798131907,337920.91628131113,189020.07684099907,334912.29173568345,196553.41407194437,215612.55248739893,147041.56282593336,133323.89396840625,350144.6365676912,182572.71863665432,288919.64826592914,183431.2884637256,202074.15169715355,189585.2412281416,205495.78462092808,324231.2317219172,259215.9146830449,265671.7524532688,386090.6308921453,117307.01768874032,197116.29838917791,244283.82642248092
2019-01,2019,01,235848.1446018588,152338.0220630558,289299.0790411361,260356.1611678561,142229.1886381116,537146.9729553666,382358.3245402442,254209.3729043393,267624.7696813432,566288.7159190044,237479.31173200483,195112.31125382948,612309.7270810376,260347.6500513295,189419.83641021687,152184.9340641152,155883.72118488673,146318.19147661302,136370.05880442928,174553.9343497042,231980.498239236,309070.5205193407,416890.52795244224,164134.7815053144,245756.8509684768,135905.77883894733,160719.9161847332,265015.2411573537,172369.3665562156,296263.97906885715,274954.64550382865,338985.1412012681,189811.30552064127,336000.46405375266,197705.73964224476,215671.7913407232,147919.85960579308,133840.61767748112,351496.99206179776,183245.2044667172,289122.9965742592,184233.41144881307,203030.63375171696,190736.8263317839,206341.06233807016,326372.2538994451,259478.07773455777,266412.39805249864,386818.5846939855,117567.00322986882,198310.73064180487,244822.5984347992
2019-02,2019,02,236990.70930859717,153424.8031744632,293084.37463581417,261923.14780503197,142929.39996707754,535542.3356514542,384285.2879439536,254564.9930638011,269070.3902675049,566530.0147272354,238543.54913157027,196431.86620691768,612627.122361695,262493.9745983991,190609.1911572254,153143.23014506666,156837.56590653115,146907.67741238707,137137.17220090583,175772.54931299275,232577.7638334611,310235.6570393348,417392.6425342144,165533.4925764225,247409.53881792675,136230.74423089845,161568.32792299258,265884.24305846053,173276.49791496497,297600.57543854084,275540.6730465624,340281.6566800098,190505.00540549937,337533.2278190524,198785.1658782576,216278.4268356893,148915.96238416104,134266.94813806817,353233.52460146643,184256.6630227329,289716.15647917066,185055.8702839584,204131.2726835983,192189.6548628648,207086.00378906363,328873.8071380839,259809.27321671305,267486.25784975284,387989.914155586,117853.22742119226,199850.2542526479,245666.0413158558
2019-03,2019,03,238198.0353894528,154685.81019861554,,263449.489045165,143693.86890963695,533724.286897078,386381.4456585141,255099.77992238585,270537.0364754961,568155.4978042772,239263.1990358599,197603.46575642363,613212.2546133224,264741.39239503763,191727.78126861303,154317.16445617916,157962.17458014484,147738.08751927767,137976.67088120503,177285.12528841806,233387.4915952605,311864.28965382994,418504.1165767231,167047.67873299978,249267.2510710001,136809.2835951843,162627.375707092,267236.15324925166,174345.69087454746,298906.9461734469,276509.7499612784,341997.8821174282,191321.4848661579,339194.8886848046,199896.2319259157,217188.945772309,149922.45856994393,134662.01007083885,354932.133361955,185320.58792759984,290550.02428244334,186003.1590498029,205364.98593583656,193741.8635522072,207730.49070294487,331665.9682579372,260270.2730058928,268877.820661975,389827.6523015692,118163.23086498288,201522.70704760545,246948.70399830255
2019-04,2019,04,239274.84882066617,155672.54630507066,301728.2591689301,264740.7366994931,144503.6807695003,532680.8200049972,388256.8551783756,255661.8316612496,271843.46454952913,570393.1875068512,239782.830942204,198567.18807671897,614305.7186893089,266999.50753849646,192569.157966788,155303.1708293899,158885.92802694562,148571.61102188707,138760.00712748858,178640.60705900993,234297.76727874207,313589.86597779026,420203.61454393226,168384.94179805505,250857.74589376437,137507.355692846,163568.967985452,268747.8800485881,175295.9253829423,299984.8101498888,277764.7758639569,343950.7638675824,192338.8661651841,340592.83391328395,200902.14792888545,217961.7609850026,150691.3559676525,135164.15172384828,356260.958551008,186180.01672712772,291721.61874895246,186846.93245101208,206540.46745013175,195064.28555630983,208274.78944288523,333858.9430449901,260758.06693570936,270259.1512471556,391826.2786550003,118444.99752363212,202884.00775081947,248429.6879089489
2019-05,2019,05,240077.644242535,156324.59019201985,303891.27486340405,265687.8707822026,145207.5944142226,532056.1442296129,389246.3091983617,255941.266287672,272383.7529054908,571924.529649036,240062.1190590041,199358.0812435971,615197.3377891484,269164.05504563305,192944.4855742313,156034.00777778056,159588.74695376845,149175.6209372533,139306.22472123458,179602.92071648614,234881.52764458107,314771.3421587392,421403.1331751085,169419.74052093938,251851.4581737817,138186.7730653166,164233.5725889032,270092.61049251264,176096.01146909726,300320.94530097366,279053.2001611399,345444.3888930853,193558.2308631704,341391.47534867324,201776.11162787784,218601.6428797131,151171.9497792887,135575.58278376114,356947.9115969233,186744.5431962252,292565.5661924113,187649.73785021665,207453.044447112,196141.8292415464,208763.88290941468,335270.69101511745,261034.9265468573,271187.2383488763,393567.1693085567,118531.31694192188,203879.20532672695,249716.0351826088
2019-06,2019,06,240783.11021812912,156848.97068108656,305391.8981437928,266661.1614863638,145988.03349618058,531670.9291415933,389847.30366627895,256092.95295910607,272405.2692897356,571982.9411197086,240466.7498114704,200039.6665963575,615754.239464667,271293.3244067037,193137.03133633255,156611.87083001423,160184.1801092236,149680.9466614401,139750.67993132875,180120.5751932915,235371.0072195223,315550.3322411561,422462.9989276882,170178.22288460756,252561.96076854403,138814.82901437907,164786.0359849542,271271.7285886597,176899.37050504156,300601.2039671752,280392.8799690778,346523.3675272002,194677.06168731189,342366.13298830384,202503.32804028856,219511.6280072364,151631.95300332792,136116.18732864002,357493.4699067176,187360.58930232783,293331.0965878943,188431.9929299384,208214.45192198257,197221.6214972159,209238.35755581,336179.0814591494,261262.6122932659,271786.1725419675,394926.1407234681,118623.8022337506,204652.9932081308,251133.1956720836
2019-07,2019,07,241432.62566085692,157504.69079660883,306513.69311475405,267642.81181165774,146561.48009533368,532075.7347023846,390295.04923702014,256280.06272804888,272148.1772812619,571664.841152006,240989.94331159245,200730.36304774293,616134.7959900297,273430.6125413591,193032.4688807939,157227.13470931994,160642.231869359,150144.56937259668,140160.39291310764,180612.11051799025,236076.49293648344,316108.51721369056,422865.3633504732,170555.6750460956,253061.6832452177,139368.0341141567,165180.11687007235,272442.6878205144,177572.56098059192,300845.7042640456,281966.9726473201,347055.3827762429,195573.77068945343,343359.8496080066,203231.05713108703,220496.65330737867,152149.6702167565,136712.40390027635,357891.19770750334,188055.2050505204,293876.03780677606,189188.42935763035,208834.30117320985,198312.6388532786,209741.77664805864,337050.9468821161,261823.75031313623,272228.31710442324,396121.8918912083,118815.15947138378,205458.6643703729,252524.3483503709
2019-08,2019,08,242146.52646346716,158284.01268744783,307570.18911519373,268846.7063460631,146978.7810218552,533768.7460928113,391086.8730002919,256552.65279009216,272136.9441531256,571703.2849774995,241703.46987862437,201530.14316939496,616163.6384452982,275678.0181096468,192929.91186640607,157951.02689135575,160974.21477744254,150734.46179904076,140612.21628701306,180931.134693547,237286.97406882967,316711.18025898887,423054.5237593467,170705.0490953032,253543.42179018923,139718.57994626023,165510.01441955997,273978.05220038,178266.30262452344,301365.659661322,283408.9735438853,347502.8155864346,196268.48075201092,344548.72249164974,204035.7360346328,221211.6427686168,152633.041104681,137246.3959383542,358488.7728439372,188784.31351654083,294419.5519995151,189933.4025630796,209429.02369110644,199465.6014387683,210345.1827165624,338188.0107814809,262601.5201161549,272849.07933242334,397410.2685027693,118851.19352042807,206241.2588631832,254198.91592743355
2019-09,2019,09,242775.3401869296,158884.18616778453,308640.10342356854,270263.58080537355,147010.3947590948,536356.5770019594,391907.64949152526,256626.73287973067,271947.0255083965,571978.0781983596,242412.80211256244,202270.0012129732,615968.004874596,277777.9595716539,192666.3531570911,158605.1864181146,161246.48580851185,151231.5439305822,140951.47440480464,181074.44308968217,238356.06512823948,317167.48279809306,422979.49254632095,170735.3705356099,253816.55639797065,139689.85795493572,165643.2982722222,275269.2943865687,178896.09729662535,301674.8767593107,284504.06752637186,347722.95321766945,196833.83092340955,345198.63323497964,204806.364521042,221473.66673852343,153038.5412218105,137530.45839617733,359003.7634980521,189446.0509746257,295021.90861950564,190492.63211635765,209958.18845904424,200491.43683384752,211004.5379998735,339657.13987582416,263381.00056838174,273561.3830823936,398639.9558084046,118710.77069931194,206914.36171405847,255424.4939909395
2019-10,2019,10,243651.18364933,159660.62803827587,309778.9597924457,271947.2077288236,147269.52124587016,539407.0740456479,393138.6989183911,256859.3647491172,271740.73562753666,572498.6821924004,243352.7938694044,203218.13735766723,615830.9692293275,280240.3686431965,192737.2229337086,159343.75279994923,161960.27296492647,151958.02097702117,141532.7521848974,181205.2422233112,239637.9830913091,317673.43918757595,423597.4708541196,171216.84396289257,254366.5836797132,139888.30096454112,166129.58984867204,276459.53615060146,179745.6196026369,301957.2423668182,285548.1822118386,348360.5926101908,197537.46442915584,345931.43934875,205832.360230656,221896.34674992276,153592.85012023288,138043.26843070154,359934.8385659954,190279.9101067425,295885.9477362226,191215.4131271665,210893.153073654,201700.59654647767,211887.21043091684,341535.60668429016,264346.0438511359,274495.09205817943,400471.17546818894,118717.06123977074,207686.2224331689,256756.64350771485
2019-11,2019,11,244843.14111075216,160718.99236699005,311279.0929666442,273914.01771807304,147713.5630789468,542728.4508154135,394841.889045421,257385.58510163077,271904.9323577778,573639.2920589461,244638.4847694176,204382.68571225423,616862.7513850472,283021.73513870226,193062.86414611185,160263.50613871537,162766.75673489695,152896.72915824957,142335.15911203934,181716.59161528212,241087.08317372296,318545.2916745227,425013.9444937152,172044.51598082006,255349.31771611844,140217.00090453727,166890.1107927281,277688.2179158979,180723.12112038452,302447.5413290174,286873.1909424123,349621.7353887595,198606.9591327553,347394.96273183497,207132.24916068104,222559.9565417407,154414.95936385196,138929.2346471958,361511.3919590718,191341.3655037398,297425.3837230555,192205.63966385243,212048.6663767118,203150.24026099296,212932.32857570183,343925.9404312412,265722.99335689767,275734.48760007747,402938.3603121417,118867.52297013812,208637.3095873091,258146.207368138
2019-12,2019,12,246244.7284355028,162078.9148522286,312749.9845891512,275969.7371500903,148425.21735535216,546170.6719321989,396863.7170663042,258238.4349407245,272688.1554410141,575130.8158077108,246222.99235526647,205818.2425430288,618446.041573011,286155.7270685903,193764.89231619416,161331.94251031525,163575.2063000958,153965.03099878583,143283.79660578995,182716.15216584303,242535.8596426064,319749.940166127,426662.7704080437,172892.7604880083,256685.7079723964,140758.8861636907,167888.62273366234,279103.047138108,181791.6657892857,303261.72589174024,288304.91807377455,351281.9637769621,200033.38266528305,349256.43338617333,208563.73038719932,223400.60976406583,155318.2994072226,140194.07584227182,363629.6637455478,192492.5262577202,299106.0025461393,193383.3356791118,213370.5363959684,204721.86821715915,214070.32029448423,346751.2955080415,267419.89880278584,277256.8044974963,406072.9715527736,119109.38367168758,209722.59365019895,259908.87287994917
2020-01,2020,01,247788.02398205083,163344.4979517636,314003.6264248558,278456.0502563953,148877.15508315127,548982.1260582964,399131.3236293821,259389.7894230055,273866.7602174331,577735.4939798721,248142.68702797056,207374.30304645235,620806.1859384332,289366.53964279057,194753.976536357,162522.12566092922,163879.48924355838,154984.09340102997,144255.5021609715,184121.02559284805,244068.2010326645,321278.08056576725,428778.0701063945,173824.11755868935,258284.07058080577,140918.29388401596,168887.11677245947,280981.16708848247,182784.5437156891,304801.02428018703,289945.5707298387,353406.14304168103,201517.5414053916,351551.0571640061,209899.6728652632,223744.81237347084,156328.35134643767,141676.37044467387,366431.2897904981,193629.11921158223,301472.51059545664,194641.9092075677,214364.9167946404,206476.06960799705,215225.6593429824,349733.7040579217,268914.08114785573,278908.2893761586,409533.5172017727,119170.7588177109,210896.52991424117,261155.98770541136
2020-02,2020,02,249296.2411835724,164399.8434355513,314802.4102429583,281175.7722277181,149440.7143161675,551243.1014533754,401657.4436341816,260623.52741949307,275211.37431488093,581313.0638734171,249951.2915885148,208924.60986849532,623277.6000495021,292734.9704761047,195906.29709343883,163698.32824649932,164179.38849296575,156116.69091562706,145081.75805856267,185409.07982596935,245692.2447429267,322992.909885846,431176.71786091913,175011.68001431212,260062.2285976934,141207.3960208439,169989.3094297434,283135.63291084976,183735.33344183184,306508.79995664785,291643.43950984936,355448.4949347692,202709.04337666463,353300.4154822466,211204.75973863472,223975.9166314116,157353.2027566968,142931.98372245455,369281.98438862985,194820.3478099368,303907.23648255505,195683.0914074788,215209.30663591932,208069.6826668315,216343.38148724684,352920.9429929615,270074.7997371303,280507.1274870872,413322.11066165176,119650.18221785485,212008.47606721183,262116.1686457437
2020-03,2020,03,250865.25411429643,165482.14838319362,315252.7446945083,284261.78637285763,150229.43013206616,553421.4450482788,404564.9441187463,262335.07405693736,276641.86677422,586089.3430540242,251540.29288793888,210393.9027617917,625676.7767091965,296426.2460968135,197033.239228375,164976.56703102088,164531.39943315563,157422.22458252838,145966.72315382908,186394.43305422785,247873.16566044415,324788.74976822647,434177.5445556178,176457.1824604371,262006.9912072209,141884.8473641124,171225.39117836885,285906.9833205632,184683.6799953069,308406.61247528065,293764.5797331265,358013.0172299066,203924.7146937328,354910.53544432746,212662.5702366137,224236.28332392423,158463.83297596537,143836.98049010607,372279.5876090734,196098.6983541951,306618.29197157425,196785.7971529569,216228.1551765036,209617.45394399491,217433.4547275789,356298.3368646107,271050.35977442394,281999.78603087284,417557.19865650864,120485.4577131852,213267.86808090296,263018.4900755469
2020-04,2020,04,252208.7236837209,166608.06316071557,315309.9853662742,287052.609093292,151368.6370439366,555432.9075861332,407332.30233388447,263988.0310267433,277726.3153966603,590794.2618567953,252506.8162337081,211558.5983264061,627574.4268267499,300100.4682171759,197845.9733173519,166206.16531146746,165088.37020186844,158692.15571201794,146733.2476140144,187179.98790098188,250135.2458425844,326387.79289523856,436797.2593960623,177817.03655890157,263744.4016035658,142823.00425976457,172338.98552982186,288441.4278721874,185597.47289502845,309738.3930468447,295798.29787748493,360492.65855521866,205184.23547505555,356247.8919375684,214065.93202530136,224923.99337089423,159471.2057652286,144325.2774247556,374615.1612270184,197500.51848500688,308914.89117447025,197796.79548267752,217447.59120614067,210922.1819556396,218219.2908353157,359465.667453154,272061.1157743812,283251.33349889395,421779.0767526152,121568.5277253909,214572.62145964327,264302.72283435194
2020-05,2020,05,252964.93946696556,167560.6588714998,314517.74591389013,288991.1959177607,152318.00894059846,555686.9549927231,408652.84616867424,264914.4175553841,277878.9820246661,593481.9047101332,252773.3670987142,212128.65734930328,627847.4315137967,303040.6505723097,197951.25675304767,167096.68363423776,165659.33661464823,159421.8856520581,147479.78365530146,187436.9419040985,252046.06767429225,327080.54626141145,438365.1227765352,178477.88066629894,264644.10216524283,143569.8735079168,173079.86221279285,290014.61047507136,186268.67488047984,310081.3132990432,297438.3651056186,362329.8911366149,206331.2995121842,357411.42598108016,214993.58075937972,225380.41150079653,160115.97492278274,144463.5742687173,375639.7735295666,198350.90915777275,309933.1446963165,198669.2358940818,218526.83193979927,211849.1874218536,218499.89113489352,361359.6703812808,272935.4550186792,283917.46268637414,424461.4475609064,122317.54203661485,215621.83771659376,265437.0169347366
2020-06,2020,06,253390.66117458788,168369.64232572794,313406.65357421985,290322.27188813494,153083.48827196247,554483.4320192644,408847.37864039367,265072.08877282165,277701.7356533854,593961.4547930903,252907.024157105,212496.44390580023,626991.8503173894,305175.32619390154,197648.5626008565,167628.63275360258,166148.47843690842,159872.49113604322,148151.7428359719,187340.3292281048,253642.93673639023,327204.54015558684,439070.6290509378,178705.07589686583,264859.40389271674,143840.626845435,173485.71035343988,290649.3237652657,186863.31790215205,309862.91508706263,298665.2165412181,363033.8991893677,207460.6771605628,358040.4235595213,215676.29715060125,225660.06811611005,160566.77242197198,144617.5376935314,375703.28065129416,198702.50095346052,310032.4652232432,199428.46688624483,219276.3601079612,212553.6264443982,218667.8415619024,362396.95088833215,273550.65682563203,284342.1986515601,425886.66317970975,122625.31309245166,216328.0583820947,266315.0225206676
